Code,,1989-12,1990-12,1991-12,1992-12,1993-12,1994-12,1995-12,1996-12,1997-12,1998-12,1999-12,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-07
A005930,자본총계,689695969.000000 ,787868737.000000 ,968238345.000000 ,1140320721.000000 ,1587425335.000000 ,2847108226.000000 ,5481660745.000000 ,5025452074.000000 ,5829940981.000000 ,6969981947.000000 ,13331568468.000000 ,16192847280.000000 ,19473749151.000000 ,25138941000.000000 ,29414475000.000000 ,34440409000.000000 ,39656610000.000000 ,45197584000.000000 ,51560624000.000000 ,58113490000.000000 ,66824711000.000000 ,89349091000.000000 ,101313630000.000000 ,121480206000.000000 ,150016010000.000000 ,168088188000.000000 ,179059805000.000000 ,192963033000.000000 ,214491428000.000000 ,247753177000.000000 ,262880421000.000000 ,
A005930,우선주자본금,18700000.000000 ,20558100.000000 ,32107265.000000 ,32107265.000000 ,56527355.000000 ,77011545.000000 ,92154170.000000 ,119467135.000000 ,119467135.000000 ,119467135.000000 ,119467135.000000 ,119467135.000000 ,119467135.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,119467000.000000 ,
A005930,이연법인세자산,,,,,,,,,,,1080526923.000000 ,178206497.000000 ,376331551.000000 ,,360442000.000000 ,,,,,,,1124009000.000000 ,1783086000.000000 ,2516080000.000000 ,4621780000.000000 ,4526595000.000000 ,5589108000.000000 ,5321450000.000000 ,5061687000.000000 ,5468002000.000000 ,4505049000.000000 ,
A005930,영업이익,378244847.000000 ,425987798.000000 ,664770660.000000 ,834166980.000000 ,1308739971.000000 ,2607523641.000000 ,4281673341.000000 ,1446849169.000000 ,2856220427.000000 ,3099958791.000000 ,4481500117.000000 ,7435154660.000000 ,2295333697.000000 ,7478195000.000000 ,7192702000.000000 ,12016877000.000000 ,8059775000.000000 ,6933933000.000000 ,5942855000.000000 ,4134070000.000000 ,6348528000.000000 ,16621030000.000000 ,15644291000.000000 ,29049338000.000000 ,36785013000.000000 ,25025071000.000000 ,26413442000.000000 ,29240672000.000000 ,53645038000.000000 ,58886669000.000000 ,27768509000.000000 ,
A005930,자산총계,2909541830.000000 ,4057248580.000000 ,5551879612.000000 ,6326671749.000000 ,6659378530.000000 ,9091813142.000000 ,13561817498.000000 ,15838458397.000000 ,23065517165.000000 ,20776080593.000000 ,24709802882.000000 ,26895046483.000000 ,27919406342.000000 ,34439600000.000000 ,39203381000.000000 ,43816543000.000000 ,50538770000.000000 ,57809128000.000000 ,65225252000.000000 ,72519220000.000000 ,86024154000.000000 ,134288744000.000000 ,155800263000.000000 ,181071570000.000000 ,214075018000.000000 ,230422958000.000000 ,242179521000.000000 ,262174324000.000000 ,301752090000.000000 ,339357244000.000000 ,352564497000.000000 ,
A000660,자본총계,216901289.000000 ,188731247.000000 ,157909844.000000 ,161208138.000000 ,323550647.000000 ,449258993.000000 ,1274764999.000000 ,1440333315.000000 ,1365920361.000000 ,2290541622.000000 ,8536008252.000000 ,6259581215.000000 ,5242434254.000000 ,4555364778.000000 ,2744272664.000000 ,4460379000.000000 ,6227796565.000000 ,8533421615.000000 ,9036287531.000000 ,5090202414.000000 ,5452382015.000000 ,8169848000.000000 ,7875271000.000000 ,9739442000.000000 ,13066859000.000000 ,18036303000.000000 ,21387703000.000000 ,24023530000.000000 ,33820919000.000000 ,46852331000.000000 ,47943195000.000000 ,
A000660,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A000660,이연법인세자산,,,,,,,,,,,958953443.000000 ,733443089.000000 ,,,,,117209455.000000 ,105910074.000000 ,76252895.000000 ,422063775.000000 ,227727610.000000 ,33534000.000000 ,315718000.000000 ,378366000.000000 ,198570000.000000 ,272102000.000000 ,361204000.000000 ,792368000.000000 ,599783000.000000 ,544016000.000000 ,670866000.000000 ,
A000660,영업이익,64378970.000000 ,33366592.000000 ,90621598.000000 ,177518664.000000 ,270814381.000000 ,658755782.000000 ,1509823268.000000 ,538299119.000000 ,639440040.000000 ,23770501.000000 ,646124680.000000 ,1500745168.000000 ,-1292128456.000000 ,-779392636.000000 ,-224125026.000000 ,1845874000.000000 ,1430010295.000000 ,1872492529.000000 ,257454343.000000 ,-2202187020.000000 ,-115847385.000000 ,3088990000.000000 ,369095000.000000 ,-227349000.000000 ,3379785000.000000 ,5109466000.000000 ,5336100000.000000 ,3276746000.000000 ,13721326000.000000 ,20843750000.000000 ,2712718000.000000 ,
A000660,자산총계,857729937.000000 ,1262553792.000000 ,1410525352.000000 ,1593979769.000000 ,2192029693.000000 ,3270337630.000000 ,4048984220.000000 ,6263500031.000000 ,10764160389.000000 ,12517754186.000000 ,20388596698.000000 ,17899846175.000000 ,12004281557.000000 ,9068757222.000000 ,6906051941.000000 ,8255022000.000000 ,10265400752.000000 ,13625806530.000000 ,14866812157.000000 ,13199340191.000000 ,13424766963.000000 ,15940007000.000000 ,17238148000.000000 ,18648693000.000000 ,20797298000.000000 ,26883278000.000000 ,29677906000.000000 ,32216026000.000000 ,45418464000.000000 ,63658335000.000000 ,64789494000.000000 ,
