,MKT,Rf
1990-01-03,0.022265268,0.000376063
1990-01-04,-0.014760664,0.000374629
1990-01-05,-0.002458721,0.000370801
1990-01-06,0.007230024,0.00037128
1990-01-08,0.000815696,0.00037104
1990-01-09,-0.009486965,0.000370801
1990-01-10,-0.009007329,0.000370562
1990-01-11,-0.000177134,0.000370562
1990-01-12,-0.010674226,0.000370083
1990-01-13,-0.011673587,0.000370083
1990-01-15,0.000441656,0.000370801
1990-01-16,-0.010210203,0.000371758
1990-01-17,0.000457451,0.000371758
1990-01-18,-0.007555926,0.00037128
1990-01-19,0.005494126,0.00037128
1990-01-20,0.029691742,0.00037128
1990-01-22,-0.009311484,0.00037128
1990-01-23,0.014665589,0.000372476
1990-01-24,0.002401558,0.000372476
1990-01-25,-0.009307204,0.000372476
1990-01-29,-0.009862702,0.000372476
1990-01-30,0.008655329,0.000372476
1990-01-31,-0.011526959,0.000372476
1990-02-01,-0.008669835,0.000372476
1990-02-02,-0.003678187,0.00037128
1990-02-03,0.002891693,0.00037104
1990-02-05,0.010724258,0.00037104
1990-02-06,-0.007295402,0.00037104
1990-02-07,0.002419382,0.00037104
1990-02-08,-0.003875266,0.000369364
1990-02-09,-0.006267774,0.000368406
1990-02-10,-0.007486349,0.000368406
1990-02-12,-0.000553601,0.000366009
1990-02-13,0.006993088,0.000366009
1990-02-14,0.001673103,0.00036481
1990-02-15,-0.001819035,0.00036481
1990-02-16,-0.006383954,0.00036385
1990-02-17,-0.008870382,0.00036337
1990-02-19,-0.00302593,0.00036217
1990-02-20,-0.004202465,0.000360488
1990-02-21,0.000480634,0.000359767
1990-02-22,-0.003058176,0.000359046
1990-02-23,-0.006569978,0.000357603
1990-02-24,-0.013534457,0.000358084
1990-02-26,0.03120615,0.000359046
1990-02-27,0.002046916,0.00036409
1990-02-28,0.026091296,0.00036409
1990-03-02,-0.002974878,0.00036481
1990-03-03,-0.018401706,0.00036481
1990-03-05,-0.008830124,0.00036457
1990-03-06,-0.011800648,0.00036529
1990-03-07,0.000365799,0.00036529
1990-03-08,0.005815256,0.00036481
1990-03-09,-0.002404128,0.000366249
1990-03-12,-0.010685946,0.000366489
1990-03-13,-0.004004468,0.000366489
1990-03-14,-0.003101922,0.000366968
1990-03-15,0.007994351,0.000367448
1990-03-16,-0.008477092,0.000367448
1990-03-17,0.005136925,0.000367448
1990-03-19,0.012580115,0.000366009
1990-03-20,-8.23549E-05,0.000366009
1990-03-21,-0.004647551,0.000366009
1990-03-22,-0.004929311,0.00036457
1990-03-23,-0.005215077,0.00036457
1990-03-24,-0.003415333,0.00036457
1990-03-26,-0.007932514,0.00036529
1990-03-27,-0.010725674,0.000365529
1990-03-28,0.006776226,0.000365529
1990-03-29,0.025940164,0.000366009
1990-03-30,-0.006016691,0.000366009
1990-03-31,-0.003091962,0.000366009
1990-04-02,-0.001980222,0.000366489
1990-04-03,-0.009143827,0.000366968
1990-04-04,0.00331733,0.000367448
1990-04-06,-0.014944754,0.000367208
1990-04-07,-0.003075796,0.000367208
1990-04-09,-0.007370406,0.000369364
1990-04-10,0.003576891,0.000370562
1990-04-11,-0.008357299,0.000372476
1990-04-12,-0.004598072,0.000374868
1990-04-13,-0.012463425,0.000376779
1990-04-14,-0.020349497,0.000383698
1990-04-16,0.025173745,0.000393449
1990-04-17,-0.018868635,0.000402693
1990-04-18,-0.016915537,0.000409783
1990-04-19,-0.00111934,0.000413085
1990-04-20,0.016404978,0.000409311
1990-04-21,-0.007230398,0.000408602
1990-04-23,-0.007657541,0.000406477
1990-04-24,-0.017437245,0.00040813
1990-04-25,-0.03835406,0.000410019
1990-04-26,0.031331341,0.000410019
1990-04-27,-0.038044494,0.000410255
1990-04-28,-0.044019046,0.000412849
1990-04-30,0.043257921,0.00041709
1990-05-01,0.045055327,0.000416383
1990-05-03,0.041967449,0.000414499
1990-05-04,0.01179809,0.00041167
1990-05-07,0.006291374,0.000406477
1990-05-08,-0.003992267,0.000399615
1990-05-09,-0.027225976,0.000395822
